Ref,Question,Ratio,Transitions,Black_Size,Normalization,Normalization_Sums,Angles,Centroid
R025,Q088,96.44687656943589,1363.5435453259277,2728.0623160037967,2728.0623160037967,3.348148402359971,4.425509279658069,239.911211009
R025,Q099,125.83322295800899,1217.5561588690684,2086.6135243499216,2086.6135243499216,3.252770121207076,3.362192497087371,228.417653472
R025,Q051,96.26525853079085,1387.975864343469,4255.863014712762,4255.863014712762,3.2335780078017735,4.138278507386604,223.532842544
R025,Q066,59.1100668245266,1347.507699421417,1858.4369776777473,1858.4369776777473,2.6812544400014833,2.671513843206135,211.421278292
R025,Q033,134.63283403390125,1471.549523461579,3779.4191352640423,3779.4191352640423,4.035285914509176,4.859867704367182,338.461517516
R025,Q004,136.71503209230505,1503.7642767402076,7743.438189848228,7743.438189848228,3.7134597135430223,3.8336212846664446,300.338640065
R025,Q085,117.05554237198682,1414.516525177419,2472.254638988468,2472.254638988468,3.275743228925037,4.011724496282521,243.393200627
R025,Q018,116.19380362136356,757.237083085608,1832.6341697130936,1832.6341697130936,2.3540739296149242,2.3010700672724425,234.234844044
R025,Q063,121.34661099511597,1425.3771430747722,1676.6940686958967,1676.6940686958967,2.73800051044087,3.046287642825547,314.432155599
R025,Q054,118.40185809352825,506.15116319139287,1883.5867381142818,1883.5867381142818,2.527731546328428,2.155548207717999,195.323218858
R025,Q001,138.729953506804,754.9086037395521,2914.467189727824,2914.467189727824,2.9143642288537572,2.8336179357989866,273.924031404
R025,Q036,103.77861051295686,622.129407760154,7347.839614471726,7347.839614471726,2.766282588993846,2.7714340946417764,210.705653832
R025,Q048,134.66625412478064,1465.1313934251768,34759.404223893136,34759.404223893136,3.226700620364156,4.130788041159513,248.452857233
R025,Q080,109.61751684835777,1399.1801170685637,1972.973137171411,1972.973137171411,2.7463442165248555,3.0470486315950547,241.281300763
R025,Q091,60.41522986797286,1442.4798092174462,4294.93422534036,4294.93422534036,3.3432207849198208,3.9900844624567573,205.960962899
R025,Q059,156.86937240902063,1454.3407441174163,2134.375786969108,2134.375786969108,4.019064321417858,5.035822876769791,353.139144922
R025,Q027,189.25115587493778,1664.143924064262,4876.749839801095,4876.749839801095,4.650278717576038,5.090757509450896,499.651164026
R025,Q010,314.4041984452498,1463.9111994926468,4187.285875122452,4187.285875122452,3.109254798961051,4.227392369059146,252.376360254
R025,Q045,131.36209498938422,1507.4581254548996,8798.083995961848,8798.083995961848,4.019943708223357,5.095715679171631,372.752628335
R025,Q072,136.89046716261873,1408.2822870433329,8607.108864188951,8607.108864188951,3.524125176486088,4.492727609697436,196.345476377
R025,Q083,145.58159224297555,1538.8122042666546,2427.5096292290996,2427.5096292290996,4.777524782327954,5.789970740707635,369.376863993
R025,Q029,159.90934932016953,1547.1790458767207,2302.9038190944925,2302.9038190944925,3.556400472031851,4.528009668332006,389.26650906
R025,Q057,131.2973724032587,831.2171798032089,2074.5283801384835,2074.5283801384835,3.4839403833939024,3.4747808746812585,262.780891709
R025,Q060,131.5826736314474,1400.7080352450328,1902.982658880527,1902.982658880527,3.7349545130096913,4.872958486620012,289.86589032
R025,Q035,134.98148021117564,1475.7011892656317,3372.0484871958765,3372.0484871958765,3.0309913692908,3.1482410629081676,284.770882185
R025,Q002,132.38957662897786,702.7616950289764,13568.864948845205,13568.864948845205,2.5666661863464215,2.849008728761046,219.87712999
R025,Q013,97.30364844136113,1330.1560058880311,1817.8575301711628,1817.8575301711628,3.3654769268150373,4.374037935560272,152.989964384
R025,Q024,90.36038955205981,1309.6969115028103,28710.366786232462,28710.366786232462,3.417372493803122,4.191779710195048,273.992279156
R025,Q071,692.1379920218222,1475.1372817470244,17284.242910813304,17284.242910813304,3.3403427270954023,4.353217588285946,326.440754659
R025,Q046,139.03596656980523,860.323195084266,2246.863369232762,2246.863369232762,3.61498916314308,3.6187011830129676,269.406445725
R025,Q038,109.17417276993676,550.2908321969393,2257.515891416935,2257.515891416935,2.52199747506377,2.446003027301918,174.918496204
R025,Q092,137.0291939697523,1415.941029845523,1901.9563612238846,1901.9563612238846,3.150545185100039,3.3618749946982858,279.025501506
R025,Q021,303.5177095327388,569.9535068757801,2003.744993755443,2003.744993755443,3.1242698645653593,3.399958402675028,183.878940115
R025,Q016,137.96738745080302,1603.3153152140724,2239.0797216713836,2239.0797216713836,3.4975911140076743,4.233618741102041,415.347553347
R025,Q043,91.85858696931932,576.2837842591097,3282.919432456423,3282.919432456423,2.7712481527858737,2.4020474929879643,243.313231798
R025,Q074,128.24195881223898,536.208914510007,1865.4433789316683,1865.4433789316683,2.239884807126439,1.9713737446145645,233.821654561
R025,Q097,1303.3288149964305,1432.3707620584833,30692.618917257616,30692.618917257616,3.5511265594561543,4.323890087053771,129.289019679
R025,Q068,181.46349495146399,1539.1130562762437,3859.4582521385046,3859.4582521385046,3.8171372925574025,4.794965377605252,265.751258953
R025,Q079,117.55849607748476,1470.5658774771023,1893.1513410184618,1893.1513410184618,3.093059101230497,3.7878480922845603,271.317137695
R025,Q086,137.55362590640786,1464.6221355694445,2245.528890929707,2245.528890929707,4.036463642234748,4.896030371285598,258.337223866
R025,Q065,142.92655456562298,769.0273077076002,2237.768754809129,2237.768754809129,3.9646833853439563,4.015717003435214,404.704853353
R025,Q052,58.540584213005594,1347.7236363587306,2455.8234871423474,2455.8234871423474,2.6543388452115706,2.704622044926106,180.957878925
R025,Q007,114.89125293076057,645.0170540381083,2204.9596368187786,2204.9596368187786,2.6254350565154945,2.6007815987435126,232.320929259
R025,Q030,135.07405376311175,1480.8197054334466,2223.289229947377,2223.289229947377,3.1752176490400497,3.1176271872693544,291.915778865
R025,Q062,105.23307464861035,608.7700715376866,25180.202044463425,25180.202044463425,2.836642060198708,2.643918015522931,349.329659234
R025,Q055,111.75866856758807,1393.8167024397433,1943.8665077623,1943.8665077623,3.8219307651967283,4.9911729957434,380.758093929
R025,Q037,146.2292720353897,1415.058302685794,2167.5426178047805,2167.5426178047805,2.940418416677831,3.9168596755920064,260.933994288
R025,Q081,105.34704552098269,1430.6194462539645,7122.053425803544,7122.053425803544,3.8277656007752165,5.2824733594827284,373.159410616
R025,Q049,144.187378088375,1652.2757033860905,2370.2409160252046,2370.2409160252046,3.584429334934278,3.9778928588115754,281.48386766
R025,Q058,136.2130683891968,1482.7659963729948,1997.5259697936344,1997.5259697936344,3.3987715016970563,4.355827590258135,219.766634728
R025,Q090,109.5764573254675,1006.9791457622149,4245.244751483711,4245.244751483711,3.313667765034551,3.5080108463207007,326.949733102
R025,Q026,138.1086528788113,1316.3236684037859,1902.1958363954013,1902.1958363954013,2.97349630909924,3.11895663651572,311.543613965
R025,Q011,84.71127433818948,1541.8959108837405,3919.683150459996,3919.683150459996,4.353577604770265,5.333772739298297,232.202833385
R025,Q044,122.27837094106218,1270.9256469203854,2050.651359934204,2050.651359934204,2.872749399157419,3.8198437382085464,221.170553015
R025,Q073,131.51805959639154,1461.0047912310213,31352.70977124625,31352.70977124625,3.4254960088922046,4.493506758963357,233.175441625
R025,Q095,127.08265027138835,1406.14224031568,2016.7508522373307,2016.7508522373307,3.5276175599953903,4.559684697727195,243.419018012
R025,Q008,132.53678734600442,1506.599482277888,8027.300106511529,8027.300106511529,3.7661383225828615,5.878379096840575,265.527478057
R025,Q089,126.2339098657726,953.0083945065752,1940.2626110916017,1940.2626110916017,3.661525209228064,3.6232455451069105,308.334674096
R025,Q014,131.06105447462264,774.7276940964483,1886.3729747852094,1886.3729747852094,2.9197521711687044,2.8604731548031013,212.603846484
R025,Q023,111.84811129384349,1282.5006822610271,1886.1314906442765,1886.1314906442765,3.295450887770289,4.092331481831062,311.89522334
R025,Q100,113.70136322841516,883.2202443332014,90146.84154755506,90146.84154755506,3.6953320552614346,3.715944602138583,237.457155367
R025,Q076,130.04230081015947,768.0305983487898,2280.141662265746,2280.141662265746,3.1220873087163565,3.1146538244431055,301.793829456
R025,Q041,114.69524837585905,1487.3852896946373,3617.3237344755307,3617.3237344755307,2.7707487845068455,2.955730066141532,242.707500187
